group,year,#wounded,#killed,#killed_civilian,#killed_political,#killed_security,country,city,location,latitude,longtitude,target_desc,target_type
Syrian Social Nationalist Party,1985,2,1,1,0,0,Lebanon,Arnoun,Arnun's Barakeh Square,33.33,35.53,Israeli Defense Forces (IDF) miltary convoy,Security
Syrian Social Nationalist Party,1985,8,8.5,0,0,8.5,Lebanon,Arnoun,Security Zone,33.33,35.53,South Lebanon Army (SLA) checkpoint,Security
Lebanese National Resistance Front,1985,2,7,0,0,2,Lebanon,Qasimeh,Entrance of al-Qasimeh Bridge between Tyre and Sidon,33.33139,35.25278,Israeli Defense Forces (IDF) military convoy,Security
Syrian Social Nationalist Party,1985,0,10.5,8,0,2.5,Lebanon,Kafr Tebnit,Near Tibnin,33.353056,35.513333,South Lebanon Army (SLA) checkpoint,Security
Lebanese National Resistance Front,1985,13,12,0,0,12,Lebanon,Houra,Road north of Israeli border with Lebanon,33.39,35.55,Israeli Defense Forces (IDF) military convoy,Security
Islamic Jihad Organization (Hezbollah),1985,13,12,0,0,12,Lebanon,Houra,Road north of Israeli border with Lebanon,33.39,35.55,Israeli Defense Forces (IDF) military convoy,Security
Lebanese National Resistance Front,1985,1,0,0,0,0,Lebanon,Hasbaya,Talit Zola area,33.4,35.68,South Lebanon Army (SLA) Headquarters,Security
Lebanese Communist Party,1985,1,0,0,0,0,Lebanon,Hasbaya,Talit Zola area,33.4,35.68,South Lebanon Army (SLA) Headquarters,Security
Syrian Social Nationalist Party,1985,7,0.5,0.5,0,0,Lebanon,Hasbaya,Zola barrier,33.4,35.68,South Lebanon Army (SLA) checkpoint,Security
Lebanese National Resistance Front,1985,0,2,0,0,2,Lebanon,Hasbaya,Abu Qumha junction,33.4,35.68,South Lebanon Army (SLA) checkpoint,Security
Syrian Social Nationalist Party,1985,5,14.5,12,0,2.5,Lebanon,Hasbaya,checkpoint,33.4,35.68,South Lebanon Army (SLA) checkpoint,Security
Arab Socialist Ba'ath Party - Lebanon,1985,3.5,0,0,0,0,Lebanon,Kfar Houneh,Security zone,33.492234,35.590797,South Lebanon Army (SLA) checkpoint,Security
Arab Socialist Ba'ath Party - Lebanon,1985,3,2,0,0,2,Lebanon,Raimat,Barti area,33.5292,35.5111,South Lebanon Army (SLA) checkpoint,Security
Lebanese National Resistance Front,1985,8,13.5,0,0,13.5,Lebanon,Raimat,Reemat Farm on Jezzine Road,33.5292,35.5111,South Lebanon Army (SLA) checkpoint,Security
Arab Socialist Ba'ath Party - Lebanon,1985,8,13.5,0,0,13.5,Lebanon,Raimat,Reemat Farm on Jezzine Road,33.5292,35.5111,South Lebanon Army (SLA) checkpoint,Security
Lebanese National Resistance Front,1985,1,1.5,0,0,1.5,Lebanon,Jezzine,South of Jezzine near northwestern border between Lebanon and Israel,33.53,35.58,Israeli Defense Forces (IDF) military convoy,Security
Amal,1985,1,1.5,0,0,1.5,Lebanon,Jezzine,South of Jezzine near northwestern border between Lebanon and Israel,33.53,35.58,Israeli Defense Forces (IDF) military convoy,Security
Unknown Group,1985,36,23,0,0,23,Lebanon,Beirut,Sammaland area,33.872,35.51,Barracks for mostly Shia soldiers of the Lebanese Army's 6th Brigade,Security
Vanguard of Arab Christians,1985,13.5,4,0,4,0,Lebanon,Aawkar,Mar Gerges Awkar Monastery,33.93,35.6,Christian Militia Leaders,Security
Unknown Group,1986,4,5.5,1.5,0,4,Lebanon,Ein Hamara,Edge of the Israeli controlled security zone,33.2,35.22,United Nations Forces in Lebanon (UNIFIL) checkpoint,Security
Arab Socialist Ba'ath Party - Lebanon,1986,6,8,0,0,8,Lebanon,Hasbaya,Kawkba area,33.4,35.68,South Lebanon Army (SLA) checkpoint,Security
Syrian Social Nationalist Party,1986,10,5,0,0,0,Lebanon,Jezzine,Jezzine Main Square,33.53,35.58,South Lebanon Army (SLA) checkpoint,Security
Hezbollah,1987,73,5,5,0,0,Lebanon,Beirut,Airport Beirut International Airport passenger terminal,33.872,35.51,Beirut International Airport passenger terminal,Civilian
Hezbollah,1987,28.5,6.5,6.5,0,0,Lebanon,Beirut,University Muslim West Beirut,33.872,35.51,American University of Beirut Hospital,Civilian
Liberation Tigers of Tamil Eelam,1987,19.5,31,0,0,31,Sri Lanka,Nelliady,School used as an Army Post,9.8,80.2,Sri Lankan Army Post,Security
Hezbollah,1988,10,6,0,0,6,Lebanon,Kifarkala,Inside Israel's security zone near Lebanon's border with Israel,33.283333,35.55,Israeli Defense Forces (IDF) military convoy,Security
Hezbollah,1988,0,0,0,0,0,Lebanon,Jisr el Khardali,Along the Khardali bridge in Israel security zone,33.34222,35.54306,Israeli Defense Forces (IDF) military convoy,Security
Popular Front for the Liberation of Palestine,1989,3,0,0,0,0,Lebanon,Tyre,At sea off the Lebanese Coast,33.272,35.195,Israeli Naval Patrol Ship,Security
Hezbollah,1989,5.5,0,0,0,0,Lebanon,Qlaiaa,Inside Israel's security zone on the road south of Klea Village,33.327957,35.5654,Joint Israeli Defense Forces and South Lebanese Army Convoy,Security
Syrian Social Nationalist Party,1990,1,0,0,0,0,Lebanon,Arnoun,Road between Kfar Tibnit and Arnoun security zone,33.33,35.53,Israeli Defense Forces (IDF) military convoy,Security
Lebanese National Resistance Front,1990,1,0,0,0,0,Lebanon,Arnoun,Road between Kfar Tibnit and Arnoun security zone,33.33,35.53,Israeli Defense Forces (IDF) military convoy,Security
Popular Front for the Liberation of Palestine,1990,0.5,5,0,0,5,Lebanon,Shebaa,Israeli-declared security zone,33.35,35.75,Israeli Defense Forces (IDF) patrol,Security
Liberation Tigers of Tamil Eelam,1990,0,6,0,0,6,Sri Lanka,Trincomalee,Trincomalee port,8.571,81.233,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1991,0,15,0,1,14,India,Madras,Campaign Site,13.052,80.251,Rajiv Gandhi Madras candidate for Indian Prime Minister [killed],Political
Liberation Tigers of Tamil Eelam,1991,55,40,12.5,0,27.5,Sri Lanka,Colombo,Heavily fortified Joint Operations Command in the heart of Colombo,6.932,79.848,Defense Ministry Military Headquarters,Security
Liberation Tigers of Tamil Eelam,1991,0,0,0,0,0,Sri Lanka,Silavathurai,Sri Lankan Army camp,8.75,79.947,Sri Lankan Army forces,Security
Liberation Tigers of Tamil Eelam,1991,4,5.5,0,0,5.5,Sri Lanka,Point Pedro (Off Coast),Off the coast of Point Pedro,9.875,80.275,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1992,0,3.5,0,0,3.5,Sri Lanka,Colombo,Outside Taj Samudra Hotel,6.932,79.848,Navy Commander Clancy Fernando traveling in a car,Security
Palestinian Islamic Jihad,1993,3,0,0,0,0,Palestine,Rafah,Near the Sajaya Junction in Gaza,31.287,34.25,IDF Golani Brigade Patrol,Security
Hamas,1993,30,0,0,0,0,Palestine,Shilo (S),Outside IDF Headquarters in Beit El,32.05,35.28333,Bus Carrying IDF Soldiers,Security
Hamas,1993,9,1,1,0,0,Palestine,Mehola (S),Outside Rest Stop in Mehola Settlement,32.365,35.514,Egged Bus Carrying IDF Soldiers,Security
Liberation Tigers of Tamil Eelam,1993,30,18,0,1,17,Sri Lanka,Colombo,May Day Parade jeep of President Premadasa,6.932,79.848,Ranashighe Premadasa (President of Sri Lanka) [killed],Political
Liberation Tigers of Tamil Eelam,1993,0,175,0,0,175,Sri Lanka,Pooneryn,Joint Sri Lankan Army and Navy base,9.505089,80.207566,Joint Sri Lankan Army and Navy base,Security
Liberation Tigers of Tamil Eelam,1993,0,12,0,0,12,Sri Lanka,Point Pedro (Off Coast),Off the coast of Point Pedro,9.875,80.275,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1993,0,12,0,0,12,Sri Lanka,Point Pedro (Off Coast),Off the coast of Point Pedro,9.875,80.275,Sri Lankan Navy (SLN) ship,Security
Hezbollah,1994,200,85,85,0,0,Argentina,Buenos Aires,Street in front of Jewish Community Center,-34.613,-58.47,Asociaci_n Mutual Israelita Argentina (AMIA) Jewish center,Civilian
Hamas,1994,12.5,0,0,0,0,Israel,Jerusalem (West),Bus stop in West Jerusalem,31.78199,35.21961,Bus Transporting Soldiers,Security
Hamas,1994,46.5,21,15,0,6,Israel,Tel Aviv,Street Dizengoff Street,32.08088,34.78057,Public Bus transporting Israeli civilians,Civilian
Hamas,1994,12.5,6,6,0,0,Israel,Hadera,Bus Station,32.43645,34.91956,Public Bus transporting Israeli civilians,Civilian
Hamas,1994,97,8.5,8.5,0,0,Israel,Afula,Bus Station Afula Bus Station,32.609885,35.290105,Public Bus transporting Israeli civilians,Civilian
Palestinian Islamic Jihad,1994,9,3,0,0,3,Palestine,Netzarim (S),Main junction of the north-south highway near Netzarim settlement,31.48333,34.45,Israel Defense Forces (IDF) Checkpoint,Security
Liberation Tigers of Tamil Eelam,1994,0,53.5,0,53.5,0,Sri Lanka,Colombo,Campaign Rally (Stage),6.932,79.848,Gamini Dissanayake (Political Candidate Opposition Leader),Political
Liberation Tigers of Tamil Eelam,1994,0,31,0,0,31,Sri Lanka,Mannar (Off Coast),Off the coast of Mannar,9.2,79.7,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1994,0,31,0,0,31,Sri Lanka,Mannar (Off Coast),Off the coast of Mannar,9.2,79.7,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1994,0,0,0,0,0,Sri Lanka,Vettilaikerny (Off Coast),Off the coast of Vettilaikerny,9.675,80.55,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1994,1,1,0,0,1,Sri Lanka,Jaffna,Inside Palay Airbase,9.677114,80.026,Palay Airbase,Security
Liberation Tigers of Tamil Eelam,1994,0,0,0,0,0,Sri Lanka,Kankesanthurai,Kankesanthurai Harbor,9.82,80.03,Sri Lankan Navy (SLN) ship,Security
Unknown Group,1995,268,40,40,0,0,Algeria,Algiers,Boulevard Amirouche,36.763,3.051,Algerian Police Headquarters,Security
Babbar Khalsa International,1995,30,15,14,1,0,India,Chandigarh,Office of Chief Minister,30.75,76.8,Chief Minister Beant Singh [killed],Political
Hamas,1995,106.5,4,4,0,0,Israel,Jerusalem (West),Ramot Ashko East Jerusalem,31.78199,35.21961,Public Bus #26 transporting Israeli civilians,Civilian
Hamas,1995,32,6.5,6.5,0,0,Israel,Ramat Gan,Diamond Exchange Center,32.0812,34.81934,Public Bus #20 transporting Israeli civilians,Civilian
Palestinian Islamic Jihad,1995,25,19.5,19.5,0,0,Israel,Natanya,"Bus Station at the ""Beit Lid"" junction",32.33292,34.85992,Bus Station,Civilian
Hezbollah,1995,20.5,0,0,0,0,Lebanon,Bint Jbeil,Security Zone,33.16,35.41,Israeli Defense Forces (IDF) convoy,Security
Egyptian Islamic Jihad,1995,59.5,15,0,0.5,14.5,Pakistan,Islamabad,Embassy Egyptian Embassy,33.7215,73.04328918,Egyptian Embassy in Pakistan,Political
Hamas,1995,3,0,0,0,0,Palestine,Khan Yunis,Road close to an Israeli military base,31.34018,34.30627,Israeli Defense Forces (IDF) base,Security
Palestinian Islamic Jihad,1995,39,6.5,0,0,6.5,Palestine,Kefar Darom (S),Road Road outside of Kfar Darom,31.4,34.36,Public Bus transporting Israeli civilians,Civilian
Hamas,1995,28.5,8,0,0,0,Palestine,Netzarim (S),Near Jewish settlement Netzarim,31.48333,34.45,Israeli Defense Forces (IDF) Patrol,Security
Liberation Tigers of Tamil Eelam,1995,12.5,20,20,0,0,Sri Lanka,Colombo,Oil Depot Northern Outskirts of Colombo,6.932,79.848,Kolonnawa and Orugodawatta National Oil Depot a key strategic oil reserve for the military,Civilian
Liberation Tigers of Tamil Eelam,1995,46.5,21.5,0,21.5,0,Sri Lanka,Colombo,Office of Chief Minister,6.932,79.848,Chief Minister Susil Prem Jayanth [survived],Political
Liberation Tigers of Tamil Eelam,1995,59.5,17.5,14.5,0,3,Sri Lanka,Colombo,Centre of Colombo,6.932,79.848,Sri Lankan Army National Headquarters,Security
Liberation Tigers of Tamil Eelam,1995,59.5,17.5,14.5,0,3,Sri Lanka,Colombo,Centre of Colombo,6.932,79.848,Sri Lankan Army National Headquarters,Security
Liberation Tigers of Tamil Eelam,1995,2,0,0,0,0,Sri Lanka,Batticaloa,Kallady Bridge,7.728,81.695,Army Truck,Security
Liberation Tigers of Tamil Eelam,1995,0,29,6,0,23,Sri Lanka,Batticaloa,Sri Lankan Military Camp,7.728,81.695,Sri Lankan Troops,Security
Liberation Tigers of Tamil Eelam,1995,3,9,0,0,9,Sri Lanka,Trincomalee,Trincomalee port,8.571,81.233,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1995,21.5,13.5,0,0,13.5,Sri Lanka,Trincomalee,Sri Lankan Naval (SLN) base,8.571,81.233,Naval forces at the base,Security
Liberation Tigers of Tamil Eelam,1995,21.5,13.5,0,0,13.5,Sri Lanka,Trincomalee,Sri Lankan Naval (SLN) base,8.571,81.233,Naval forces at the base,Security
Liberation Tigers of Tamil Eelam,1995,0,0,0,0,0,Sri Lanka,Kankesanthurai,Kankestanthurai Harbor,9.82,80.03,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1995,0,0,0,0,0,Sri Lanka,Kankesanthurai,Kankestanthurai Harbor,9.82,80.03,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1995,0,0,0,0,0,Sri Lanka,Kankesanthurai,Kankestanthurai Harbor,9.82,80.03,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1995,0,6,0,0,6,Sri Lanka,Kankesanthurai,Kankesanthurai Harbor,9.82,80.03,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1995,0,6,0,0,6,Sri Lanka,Kankesanthurai,Kankesanthurai Harbor,9.82,80.03,Sri Lankan Navy (SLN) ship,Security
Hamas,1996,30,3.5,0,0,0,Israel,Ashqelon,Soldiers' hitchhiking post,31.66926,34.57149,Israeli Defence Forces (IDF) soldiers,Security
Hamas,1996,8.5,17,13,0,3,Israel,Jerusalem (West),Near central post office and police headquarters on Yaffa Road,31.78199,35.21961,Public Bus #18 transporting Israeli civilians,Civilian
Hamas,1996,49.5,23,10.5,0,12.5,Israel,Jerusalem (West),Bus Station Near bus station in central Jerusalem,31.78199,35.21961,Public Bus transporting Israeli civilians,Civilian
Hamas,1996,128,14,13,0,1,Israel,Tel Aviv,Shopping Mall Dizengoff Street,32.08088,34.78057,Civilians at shopping Mall,Civilian
Hezbollah,1996,7,1,0,0,1,Lebanon,Udaysah,Southern Lebanon Security Zone between the cities of al-'Adeyseh and al-Tayyiba,33.25,35.54,Israeli Defense Forces (IDF) Convoy,Security
Liberation Tigers of Tamil Eelam,1996,700,104,104,0,0,Sri Lanka,Colombo,The Financial Center,6.932,79.848,The Central bank,Political
Liberation Tigers of Tamil Eelam,1996,0.5,0,0,0,0,Sri Lanka,Colombo,Sri Lankan Navy port,6.932,79.848,Naval forces at the boat,Security
Liberation Tigers of Tamil Eelam,1996,4,0,0,0,0,Sri Lanka,Batticaloa,Market The main eastern town,7.728,81.695,Sri Lankan Market,Civilian
Liberation Tigers of Tamil Eelam,1996,0.5,1,0,0,1,Sri Lanka,Batticaloa,Karaitivu Village Ampara District,7.728,81.695,Upali Sahabandu (Special Task Force Commander),Security
Liberation Tigers of Tamil Eelam,1996,0,12,0,0,12,Sri Lanka,Trincomalee (Off Coast),Off the coast of Trincomalee,8.55,81.405,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1996,0.5,0,0,0,0,Sri Lanka,Trincomalee,town center,8.571,81.233,Police Official,Security
Liberation Tigers of Tamil Eelam,1996,0,28,0,0,28,Sri Lanka,Mullaittivu (Off Coast),Off the coast of Mullaitivu,9.3,80.95,Sri Lankan Navy (SLN) gunboat,Security
Liberation Tigers of Tamil Eelam,1996,0,28,0,0,28,Sri Lanka,Mullaittivu (Off Coast),Off the coast of Mullaitivu,9.3,80.95,Sri Lankan Navy (SLN) gunboat,Security
Liberation Tigers of Tamil Eelam,1996,6,10,0,0,10,Sri Lanka,Vettilaikerny (Off Coast),Off the coast of Vettilaikerny,9.675,80.55,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1996,6,10,0,0,10,Sri Lanka,Vettilaikerny (Off Coast),Off the coast of Vettilaikerny,9.675,80.55,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1996,55,36.5,1,5,23,Sri Lanka,Jaffna,Stanley Road,9.677114,80.026,Nimal Siripala DeSilva (Housing Minister) [survived],Security
Kurdistan Workers' Party,1996,30,9,0,0,9,Turkey,Tunceli,Central Square,39.1,39.55,Military Parade,Security
Kurdistan Workers' Party,1996,6.5,4,1,0,3,Turkey,Sivas,Outside a police station on Carsi Street,39.75,37.016667,Turkish Police,Security
Hamas,1997,155,15,15,0,0,Israel,Jerusalem (West),Market Ben Yehuda Street,31.78199,35.21961,Mahane Yehuda outdoor market,Civilian
Hamas,1997,161,5,5,0,0,Israel,Jerusalem (West),Mall Ben Yehuda Street,31.78199,35.21961,Mall,Civilian
Hamas,1997,47,3,3,0,0,Israel,Tel Aviv,Caf_ Intersection of Ben-Gurion and Adam Hacohen streets,32.08088,34.78057,Israeli civilians at Apropo Caf_,Civilian
Palestinian Islamic Jihad,1997,7,0,0,0,0,Palestine,Kefar Darom (S),Kfar Darom Settlement,31.4,34.36,Civilians at the settlement,Civilian
Unknown Group,1997,0,0,0,0,0,Sri Lanka,Galle,About 500 meters away from navy camp,6.037,80.22,Chief of the Sri Lankan Navy Cecil Tissera,Security
Liberation Tigers of Tamil Eelam,1997,100,18.5,18.5,0,0,Sri Lanka,Colombo,Business Center World Trade Center entry point to Central Bank building,6.932,79.848,Central Bank of Sri Lanka,Civilian
Liberation Tigers of Tamil Eelam,1997,1.5,4.5,0,0,4.5,Sri Lanka,Trincomalee (Off Coast),Off the coast just north of the eastern port city of Trincomalee,8.55,81.405,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1997,3,2.5,0,0,2.5,Sri Lanka,Trincomalee,air base at China Bay,8.571,81.233,Sri Lankan China Bay Military Base,Security
Liberation Tigers of Tamil Eelam,1997,4.5,1,0,0,1,Sri Lanka,Mullaittivu (Off Coast),at sea,9.3,80.95,Sri Lankan Navy (SLN) convoy,Security
Liberation Tigers of Tamil Eelam,1997,4.5,1,0,0,1,Sri Lanka,Mullaittivu (Off Coast),at sea,9.3,80.95,Sri Lankan Navy (SLN) convoy,Security
Unknown Group,1998,2,1,1,0,0,India,Mumbai,Train Station Virar northern Mumbai,18.967,72.833,Railway station,Civilian
Palestinian Islamic Jihad,1998,20.5,2,0,0,0,Israel,Jerusalem (West),Market,31.78199,35.21961,Israeli Shoppers,Civilian
Al-Qaeda Central,1998,4600,184.5,171.5,13,0,Kenya,Nairobi,Embassy downtown Nairobi,-1.283,36.817,US Embassy,Political
Hamas,1998,4.5,1,0,0,1,Palestine,Kefar Darom (S),Near Israeli settlement Kfar Daroum,31.4,34.36,School bus transporting Israeli students,Civilian
Liberation Tigers of Tamil Eelam,1998,275,33.5,0,0,33.5,Sri Lanka,Colombo,Market,6.932,79.848,Government minister's motorcade (survived),Political
Liberation Tigers of Tamil Eelam,1998,10.5,7,0,0,7,Sri Lanka,Colombo,Air Force Headquarters,6.932,79.848,Chief of the Sri Lankan Air Force Oliver Ranasinghe [survived],Security
Liberation Tigers of Tamil Eelam,1998,24,9.5,9.5,0,0,Sri Lanka,Kandy,Shrine The Temple of the Tooth,7.296,80.636,Sri Lankan Buddhist Shrine,Civilian
Liberation Tigers of Tamil Eelam,1998,5,1,0,0,1,Sri Lanka,Trincomalee,Trincomalee port,8.571,81.233,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1998,0,16.5,0,0,16.5,Sri Lanka,Mullaittivu,Mullaitivu,9.268,80.815,Sri Lankan Navy (SLN) gunboat,Security
Liberation Tigers of Tamil Eelam,1998,0,1,0,0,1,Sri Lanka,Point Pedro,Point Pedro,9.817,80.233,Brigadier General Larry Wijerantne [killed],Security
Liberation Tigers of Tamil Eelam,1998,0,46,0,0,46,Sri Lanka,Point Pedro (Off Coast),Off the coast of Point Pedro,9.875,80.275,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1998,0,46,0,0,46,Sri Lanka,Point Pedro (Off Coast),Off the coast of Point Pedro,9.875,80.275,Sri Lankan Navy (SLN) ship,Security
Al-Qaeda Central,1998,74,10.5,10.5,0,0,Tanzania,Dar Es Salaam,Embassy Car park in the rear of the embassy,-6.8,39.283,US Embassy,Political
Unknown Group,1998,4,0,0,0,0,Turkey,Yuksekova,Military garrison,37.566667,44.283333,Gendarmerie General Command,Security
Kurdistan Workers' Party,1998,8.5,0,0,0,0,Turkey,Lice,Market Front of market,38.45,40.65,Turkish civilians in market,Civilian
Kurdistan Workers' Party,1998,21.5,1,1,0,0,Turkey,Van,In front of a military complex,38.5,43.383,Turkish Military Bus,Security
Unknown Group,1999,7,0,0,0,0,Finland,Hamina,Courthouse Hamina Courtroom,60.566667,27.2,Bomber's Opponent in Inheritence Dispute,Political
Hezbollah,1999,13.5,3.5,0,0,3.5,Lebanon,Qlaiaa,Residential Quarter of the city,33.327957,35.5654,Israeli Defense Forces (IDF) Convoy,Security
Liberation Tigers of Tamil Eelam,1999,5,1,0,1,0,Sri Lanka,Colombo,Thiruchelvam's Car as it was stuck in a traffic jam,6.932,79.848,Neelan Thiruchelvam (Member of Parliament) [killed],Political
Liberation Tigers of Tamil Eelam,1999,105,23.5,0,23.5,0,Sri Lanka,Colombo,People's Alliance (PA) rally at the Town Hall,6.932,79.848,President of Sri Lanka Chandrika Kumaratunga [survived],Political
Liberation Tigers of Tamil Eelam,1999,10,4.5,0,0,4.5,Sri Lanka,Colombo,Mount Lavinia Police Stations,6.932,79.848,Chief Inspector Mohammed Nilabdeen [survived],Security
Liberation Tigers of Tamil Eelam,1999,40,12,0,12,0,Sri Lanka,Ja-Ela,Opposition Union National Party (UNP) rally,7.066718,79.893635,Former Army General Lucky Algama [killed],Political
Liberation Tigers of Tamil Eelam,1999,8.5,3,0,0,3,Sri Lanka,Batticaloa,Garage on Batticaloa-Trincomalee Road,7.728,81.695,Muthulingam Ganeshamurthi (Leader of the National Auxiliary Forces) [killed],Security
Liberation Tigers of Tamil Eelam,1999,2,1,0,1,0,Sri Lanka,Vakarai,Vaakarai military camp,8.133,81.433,Major Karunanayaka,Security
Liberation Tigers of Tamil Eelam,1999,0,10,0,0,10,Sri Lanka,Trincomalee (Off Coast),Off the coast of Trincomalee,8.55,81.405,Sri Lankan Navy (SLN) gunboat,Security
Liberation Tigers of Tamil Eelam,1999,0,1,1,0,0,Sri Lanka,Trincomalee,Port Trincomalee port,8.571,81.233,Newco Endurance' passenger ferry,Civilian
Liberation Tigers of Tamil Eelam,1999,0,2,0,0,2,Sri Lanka,Vavuniya,Headquarters of People's Liberation Organization of Tamil Eelam [PLOTE],8.751,80.497,Manikkadasan Cmommander of PLOTE's military wing,Security
Liberation Tigers of Tamil Eelam,1999,23.5,11.5,0.5,0,11,Sri Lanka,Veppankulam,Police Special Task Force (STF) truck,8.79,80.465,Special Task Forces Convoy,Security
Liberation Tigers of Tamil Eelam,1999,1.5,0,0,0,0,Sri Lanka,Jaffna Lagoon,Jaffna Lagoon,9.564,80.259,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1999,1.5,0,0,0,0,Sri Lanka,Jaffna Lagoon,Jaffna Lagoon,9.564,80.259,Sri Lankan Navy (SLN) ship,Security
Liberation Tigers of Tamil Eelam,1999,2.5,4,0,0,4,Sri Lanka,Point Pedro (Off Coast),Off the coast of Point Pedro,9.875,80.275,Sri Lankan Navy (SLN) ship,Security
Kurdistan Workers' Party,1999,15.5,0,0,0,0,Turkey,Adana,Outside Police Station,37.017,35.3,Officers of the Turkish Police,Security
Kurdistan Workers' Party,1999,9,1,1,0,0,Turkey,Yuksekova,Road near a border town,37.566667,44.283333,Provincial Governor Nihat Canbolat,Political
Kurdistan Workers' Party,1999,3.5,0,0,0,0,Turkey,Batman,City Center,37.880556,41.1275,Police Station,Security
